Car_id,Date,Engine,Transmission,Color,Price ($),Body Style,Phone
C_CND_000030,1/2/2022,Overhead Camshaft,Manual,Pale White,13000,Hatchback,7698986
C_CND_000031,1/2/2022,Overhead Camshaft,Manual,Pale White,20000,Sedan,8847858
C_CND_000032,1/2/2022,Overhead Camshaft,Manual,Pale White,14000,Hatchback,8344679
C_CND_000033,1/2/2022,Double Overhead Camshaft,Auto,Pale White,19000,Sedan,6827044
C_CND_000034,1/2/2022,Overhead Camshaft,Manual,Black,43000,Hatchback,7954038
C_CND_000035,1/2/2022,Double Overhead Camshaft,Auto,Black,16000,Passenger,7400390
C_CND_000036,1/3/2022,Double Overhead Camshaft,Auto,Pale White,42000,Sedan,7153628
C_CND_000037,1/3/2022,Double Overhead Camshaft,Auto,Pale White,21000,SUV,6125796
C_CND_000038,1/3/2022,Double Overhead Camshaft,Auto,Black,61000,Hatchback,7438037
C_CND_000039,1/3/2022,Double Overhead Camshaft,Auto,Pale White,39000,SUV,6837588
C_CND_000040,1/3/2022,Double Overhead Camshaft,Auto,Black,16000,Passenger,7213857
C_CND_000041,1/3/2022,Overhead Camshaft,Manual,Pale White,26000,Sedan,7704004
C_CND_000042,1/3/2022,Overhead Camshaft,Manual,Pale White,21000,Sedan,8018700
C_CND_000043,1/3/2022,Overhead Camshaft,Manual,Black,42500,Passenger,6793858
C_CND_000044,1/3/2022,Double Overhead Camshaft,Auto,Black,45001,Hatchback,6739543
C_CND_000045,1/3/2022,Overhead Camshaft,Manual,Black,36001,Hatchback,6091237
C_CND_000046,1/3/2022,Overhead Camshaft,Manual,Pale White,12000,Hatchback,6547535
C_CND_000047,1/3/2022,Overhead Camshaft,Manual,Pale White,21001,Hatchback,8689761
C_CND_000048,1/3/2022,Double Overhead Camshaft,Auto,Pale White,29000,Hatchback,6404807
C_CND_000049,1/3/2022,Double Overhead Camshaft,Auto,Pale White,20000,Hatchback,7117432
C_CND_000050,1/3/2022,Double Overhead Camshaft,Auto,Pale White,22000,SUV,7836930
C_CND_000051,1/3/2022,Double Overhead Camshaft,Auto,Pale White,31000,Hatchback,7316398
C_CND_000052,1/3/2022,Double Overhead Camshaft,Auto,Black,27000,Hardtop,7680267
C_CND_000053,1/3/2022,Double Overhead Camshaft,Auto,Black,33000,Hatchback,6402878
C_CND_000054,1/3/2022,Overhead Camshaft,Manual,Pale White,14000,Hardtop,7890478
C_CND_000055,1/3/2022,Overhead Camshaft,Manual,Pale White,17000,SUV,8523869
C_CND_000056,1/4/2022,Double Overhead Camshaft,Auto,Pale White,25600,Passenger,8852693
C_CND_000057,1/4/2022,Overhead Camshaft,Manual,Black,17000,Hatchback,6444851
C_CND_000058,1/4/2022,Overhead Camshaft,Manual,Pale White,21000,SUV,6052630
C_CND_000059,1/4/2022,Overhead Camshaft,Manual,Pale White,12000,Hatchback,8939776
C_CND_000060,1/4/2022,Overhead Camshaft,Manual,Pale White,17000,Passenger,7177888
C_CND_000061,1/4/2022,Overhead Camshaft,Manual,Black,36000,Hardtop,6139882
C_CND_000062,1/4/2022,Overhead Camshaft,Manual,Pale White,17000,Hatchback,7181009
C_CND_000063,1/4/2022,Overhead Camshaft,Manual,Pale White,41000,Hatchback,7936565
C_CND_000064,1/4/2022,Double Overhead Camshaft,Auto,Black,14000,SUV,7419754
C_CND_000065,1/4/2022,Double Overhead Camshaft,Auto,Pale White,31100,Sedan,8637804
C_CND_000066,1/4/2022,Double Overhead Camshaft,Auto,Black,61000,Hatchback,8380613
C_CND_000067,1/4/2022,Overhead Camshaft,Manual,Black,26000,SUV,6595676
C_CND_000068,1/4/2022,Overhead Camshaft,Manual,Black,12000,Passenger,7244029
C_CND_000069,1/4/2022,Double Overhead Camshaft,Auto,Pale White,42000,Sedan,6741165
C_CND_000070,1/4/2022,Double Overhead Camshaft,Auto,Pale White,21000,Hatchback,8822935
C_CND_000071,1/5/2022,Double Overhead Camshaft,Auto,Pale White,22600,SUV,8026457
C_CND_000072,1/5/2022,Overhead Camshaft,Manual,Pale White,45000,Passenger,8872334
C_CND_000073,1/5/2022,Overhead Camshaft,Manual,Black,25000,SUV,6204993
C_CND_000074,1/5/2022,Double Overhead Camshaft,Auto,Pale White,62000,Sedan,7031644
C_CND_000075,1/5/2022,Double Overhead Camshaft,Auto,Black,22700,Passenger,7179280
C_CND_000076,1/5/2022,Double Overhead Camshaft,Auto,Black,45000,SUV,6245275
C_CND_000077,1/5/2022,Overhead Camshaft,Manual,Black,17000,Hatchback,7072635
C_CND_000078,1/5/2022,Overhead Camshaft,Manual,Black,49000,Hardtop,6766211
C_CND_000079,1/5/2022,Overhead Camshaft,Manual,Black,15000,SUV,8011357
C_CND_000080,1/5/2022,Double Overhead Camshaft,Auto,Black,28000,Hatchback,7539127
C_CND_000081,1/5/2022,Double Overhead Camshaft,Auto,Pale White,46000,Hardtop,6559063
C_CND_000082,1/5/2022,Overhead Camshaft,Manual,Pale White,43000,Hatchback,8082987
C_CND_000083,1/5/2022,Double Overhead Camshaft,Auto,Pale White,41000,Sedan,7328070
C_CND_000084,1/5/2022,Double Overhead Camshaft,Auto,Pale White,45000,SUV,7078803
C_CND_000085,1/5/2022,Overhead Camshaft,Manual,Pale White,22001,Hatchback,8636283
C_CND_000086,1/5/2022,Overhead Camshaft,Manual,Pale White,25001,Sedan,7109521
C_CND_000087,1/5/2022,Overhead Camshaft,Manual,Pale White,12800,Sedan,7305344
C_CND_000088,1/5/2022,Double Overhead Camshaft,Auto,Black,26000,SUV,8941079
C_CND_000089,1/5/2022,Double Overhead Camshaft,Auto,Black,18000,Sedan,6136111
C_CND_000090,1/5/2022,Double Overhead Camshaft,Auto,Pale White,19000,Hatchback,8001444
C_CND_000091,1/5/2022,Overhead Camshaft,Manual,Pale White,22500,Sedan,7696195
C_CND_000092,1/5/2022,Overhead Camshaft,Manual,Pale White,21001,Hardtop,8188037
C_CND_000093,1/5/2022,Double Overhead Camshaft,Auto,Pale White,46500,Hardtop,8351089
C_CND_000094,1/5/2022,Double Overhead Camshaft,Auto,Pale White,16000,SUV,6130679
C_CND_000095,1/5/2022,Double Overhead Camshaft,Auto,Black,39000,Passenger,6260413
C_CND_000096,1/5/2022,Overhead Camshaft,Manual,Black,19000,SUV,8750989
C_CND_000097,1/5/2022,Double Overhead Camshaft,Auto,Black,26000,Hatchback,6784534
C_CND_000098,1/5/2022,Overhead Camshaft,Manual,Black,43000,Sedan,7944735
C_CND_000099,1/5/2022,Overhead Camshaft,Manual,Pale White,54000,Sedan,8099375
C_CND_000100,1/5/2022,Double Overhead Camshaft,Auto,Pale White,22000,SUV,6641303
C_CND_000101,1/6/2022,Double Overhead Camshaft,Auto,Black,16001,SUV,8158584
C_CND_000102,1/6/2022,Double Overhead Camshaft,Auto,Black,16001,Sedan,7159142
C_CND_000103,1/6/2022,Double Overhead Camshaft,Auto,Pale White,12000,SUV,7495544
C_CND_000104,1/6/2022,Overhead Camshaft,Manual,Black,38000,Hardtop,6682438
C_CND_000105,1/6/2022,Double Overhead Camshaft,Auto,Pale White,42000,Hatchback,7189696
C_CND_000106,1/6/2022,Double Overhead Camshaft,Auto,Pale White,21000,Hatchback,8844816
C_CND_000107,1/6/2022,Double Overhead Camshaft,Auto,Black,49000,Hatchback,8002612
C_CND_000108,1/6/2022,Overhead Camshaft,Manual,Pale White,21200,Hardtop,6633882
C_CND_000109,1/6/2022,Overhead Camshaft,Manual,Pale White,71000,SUV,8884667
C_CND_000110,1/6/2022,Double Overhead Camshaft,Auto,Pale White,17000,Sedan,6759578
C_CND_000111,1/9/2022,Double Overhead Camshaft,Auto,Pale White,57001,SUV,6376331
C_CND_000112,1/9/2022,Double Overhead Camshaft,Auto,Pale White,62001,Hatchback,6729016
C_CND_000113,1/9/2022,Overhead Camshaft,Manual,Black,69001,SUV,7270473
C_CND_000114,1/9/2022,Overhead Camshaft,Manual,Pale White,20001,SUV,7281617
C_CND_000115,1/9/2022,Double Overhead Camshaft,Auto,Black,27000,Hardtop,7824922
C_CND_000116,1/9/2022,Overhead Camshaft,Manual,Black,49000,Hardtop,8944331
C_CND_000117,1/9/2022,Overhead Camshaft,Manual,Black,49000,Hatchback,7757499
C_CND_000118,1/9/2022,Double Overhead Camshaft,Auto,Black,12000,Hatchback,6586288
C_CND_000119,1/9/2022,Overhead Camshaft,Manual,Pale White,25000,Hatchback,8486170
C_CND_000120,1/9/2022,Double Overhead Camshaft,Auto,Pale White,42000,Hatchback,6732905
C_CND_000121,1/9/2022,Double Overhead Camshaft,Auto,Pale White,19000,Sedan,7212279
C_CND_000122,1/9/2022,Overhead Camshaft,Manual,Pale White,26750,Hatchback,8144887
C_CND_000123,1/9/2022,Double Overhead Camshaft,Auto,Pale White,31000,Passenger,8668755
C_CND_000124,1/9/2022,Overhead Camshaft,Manual,Pale White,49000,Hatchback,8892301
C_CND_000125,1/9/2022,Overhead Camshaft,Manual,Black,15000,SUV,6238423
C_CND_000126,1/9/2022,Double Overhead Camshaft,Auto,Pale White,26000,Sedan,7552575
C_CND_000127,1/9/2022,Overhead Camshaft,Manual,Pale White,17000,Hardtop,6278363
C_CND_000128,1/9/2022,Overhead Camshaft,Manual,Pale White,24000,Hatchback,6323753
C_CND_000129,1/9/2022,Double Overhead Camshaft,Auto,Pale White,19000,Passenger,8368721
C_CND_000130,1/9/2022,Overhead Camshaft,Manual,Pale White,20000,Passenger,6328688
C_CND_000131,1/10/2022,Double Overhead Camshaft,Auto,Black,28501,Hatchback,6553517
C_CND_000132,1/10/2022,Double Overhead Camshaft,Auto,Pale White,15500,Hatchback,8070819
C_CND_000133,1/10/2022,Overhead Camshaft,Manual,Pale White,20000,Passenger,7541816
C_CND_000134,1/10/2022,Overhead Camshaft,Manual,Pale White,29000,Sedan,8368460
C_CND_000135,1/10/2022,Double Overhead Camshaft,Auto,Pale White,12500,Passenger,7578367
C_CND_000136,1/12/2022,Overhead Camshaft,Manual,Pale White,16001,SUV,6435654
C_CND_000137,1/12/2022,Double Overhead Camshaft,Auto,Pale White,27250,SUV,7906708
C_CND_000138,1/12/2022,Overhead Camshaft,Manual,Black,11000,Sedan,6536878
C_CND_000139,1/12/2022,Overhead Camshaft,Manual,Pale White,22001,Sedan,6374244
C_CND_000140,1/12/2022,Double Overhead Camshaft,Auto,Pale White,22000,Passenger,6500188
C_CND_000141,1/12/2022,Overhead Camshaft,Manual,Pale White,22000,SUV,8574162
C_CND_000142,1/12/2022,Overhead Camshaft,Manual,Black,18000,SUV,6655590
C_CND_000143,1/12/2022,Overhead Camshaft,Manual,Pale White,27000,Passenger,6691774
C_CND_000144,1/12/2022,Overhead Camshaft,Manual,Pale White,25000,SUV,7264601
C_CND_000145,1/12/2022,Overhead Camshaft,Manual,Pale White,26500,SUV,7583887
C_CND_000146,1/12/2022,Overhead Camshaft,Manual,Black,69000,SUV,8687698
C_CND_000147,1/12/2022,Overhead Camshaft,Manual,Pale White,14150,Sedan,7808972
C_CND_000148,1/12/2022,Overhead Camshaft,Manual,Pale White,28000,Hatchback,6099473
C_CND_000149,1/12/2022,Overhead Camshaft,Manual,Black,43000,Hatchback,8406767
C_CND_000150,1/12/2022,Overhead Camshaft,Manual,Pale White,25000,SUV,7946702
C_CND_000151,1/12/2022,Double Overhead Camshaft,Auto,Pale White,12000,Sedan,6420448
C_CND_000152,1/12/2022,Double Overhead Camshaft,Auto,Black,39000,Sedan,7232005
C_CND_000153,1/12/2022,Double Overhead Camshaft,Auto,Black,60500,Passenger,7622532
C_CND_000154,1/12/2022,Double Overhead Camshaft,Auto,Pale White,16000,Passenger,7398647
C_CND_000155,1/12/2022,Double Overhead Camshaft,Auto,Pale White,19000,Hatchback,7387235
C_CND_000156,1/12/2022,Overhead Camshaft,Manual,Black,44000,Hatchback,8931658
C_CND_000157,1/12/2022,Overhead Camshaft,Manual,Pale White,71000,Passenger,7887874
C_CND_000158,1/12/2022,Overhead Camshaft,Manual,Pale White,25000,Hatchback,8238020
C_CND_000159,1/12/2022,Double Overhead Camshaft,Auto,Black,18000,Hatchback,6735346
C_CND_000160,1/12/2022,Overhead Camshaft,Manual,Pale White,22000,SUV,6859342
C_CND_000161,1/12/2022,Overhead Camshaft,Manual,Pale White,41000,Hardtop,7891679
C_CND_000162,1/12/2022,Overhead Camshaft,Manual,Black,49000,Hardtop,8493769
C_CND_000163,1/12/2022,Double Overhead Camshaft,Auto,Pale White,19000,Passenger,8239781
C_CND_000164,1/12/2022,Overhead Camshaft,Manual,Black,21000,SUV,6539980
C_CND_000165,1/12/2022,Double Overhead Camshaft,Auto,Black,22000,Hardtop,6815074
C_CND_000166,1/13/2022,Overhead Camshaft,Manual,Pale White,16000,SUV,8431840
C_CND_000167,1/13/2022,Double Overhead Camshaft,Auto,Pale White,45000,SUV,8808261
C_CND_000168,1/13/2022,Overhead Camshaft,Manual,Black,11650,Sedan,8193979
C_CND_000169,1/13/2022,Overhead Camshaft,Manual,Pale White,26000,Sedan,6422078
C_CND_000170,1/13/2022,Overhead Camshaft,Manual,Black,36000,Passenger,7960177
C_CND_000171,1/13/2022,Overhead Camshaft,Manual,Pale White,82000,Passenger,6642461
C_CND_000172,1/13/2022,Double Overhead Camshaft,Auto,Pale White,24000,Sedan,7781272
C_CND_000173,1/13/2022,Overhead Camshaft,Manual,Pale White,11800,Hardtop,6438030
C_CND_000174,1/13/2022,Double Overhead Camshaft,Auto,Pale White,27500,Hatchback,7063414
C_CND_000175,1/13/2022,Double Overhead Camshaft,Auto,Pale White,36000,Passenger,7033838
C_CND_000176,1/13/2022,Overhead Camshaft,Manual,Pale White,20000,Passenger,8626515
C_CND_000177,1/13/2022,Overhead Camshaft,Manual,Pale White,17000,Passenger,8692179
C_CND_000178,1/13/2022,Double Overhead Camshaft,Auto,Pale White,16900,Passenger,8280131
C_CND_000179,1/13/2022,Double Overhead Camshaft,Auto,Pale White,46500,Passenger,6775570
C_CND_000180,1/13/2022,Double Overhead Camshaft,Auto,Black,14000,Hatchback,8957521
C_CND_000181,1/13/2022,Overhead Camshaft,Manual,Black,16000,Passenger,6492064
C_CND_000182,1/13/2022,Overhead Camshaft,Manual,Black,22000,Hardtop,6729766
C_CND_000183,1/13/2022,Double Overhead Camshaft,Auto,Pale White,20000,Hatchback,8827586
C_CND_000184,1/13/2022,Overhead Camshaft,Manual,Pale White,14200,SUV,8378577
C_CND_000185,1/13/2022,Double Overhead Camshaft,Auto,Pale White,51000,Sedan,6300537
C_CND_000186,1/17/2022,Overhead Camshaft,Manual,Pale White,19000,Hatchback,7658357
C_CND_000187,1/17/2022,Double Overhead Camshaft,Auto,Pale White,31000,Hatchback,7154079
C_CND_000188,1/17/2022,Double Overhead Camshaft,Auto,Pale White,32000,Passenger,7160297
C_CND_000189,1/17/2022,Double Overhead Camshaft,Auto,Pale White,31000,Hatchback,8063218
C_CND_000190,1/17/2022,Overhead Camshaft,Manual,Pale White,14000,Sedan,8641482
C_CND_000191,1/17/2022,Overhead Camshaft,Manual,Black,25000,SUV,6554530
C_CND_000192,1/17/2022,Double Overhead Camshaft,Auto,Pale White,46000,Sedan,6440545
C_CND_000193,1/17/2022,Double Overhead Camshaft,Auto,Black,39500,SUV,7293423
C_CND_000194,1/17/2022,Double Overhead Camshaft,Auto,Black,39000,Sedan,6687979
C_CND_000195,1/17/2022,Double Overhead Camshaft,Auto,Black,31000,SUV,8525846
C_CND_000196,1/17/2022,Overhead Camshaft,Manual,Pale White,41000,Hatchback,6436923
C_CND_000197,1/17/2022,Double Overhead Camshaft,Auto,Pale White,22000,SUV,7273916
C_CND_000198,1/17/2022,Overhead Camshaft,Manual,Black,22000,Hatchback,8283096
C_CND_000199,1/17/2022,Double Overhead Camshaft,Auto,Pale White,41000,SUV,6784925
C_CND_000200,1/17/2022,Overhead Camshaft,Manual,Pale White,21000,Passenger,7826082
C_CND_000201,1/17/2022,Overhead Camshaft,Manual,Black,26000,Passenger,6471180
C_CND_000202,1/17/2022,Double Overhead Camshaft,Auto,Pale White,31000,Sedan,8928940
C_CND_000203,1/17/2022,Double Overhead Camshaft,Auto,Pale White,19000,SUV,7428074
C_CND_000204,1/17/2022,Overhead Camshaft,Manual,Pale White,13000,Hatchback,8948624
C_CND_000205,1/17/2022,Double Overhead Camshaft,Auto,Black,33000,Hardtop,7941618
C_CND_000206,1/19/2022,Overhead Camshaft,Manual,Pale White,61000,Sedan,7356041
C_CND_000207,1/19/2022,Double Overhead Camshaft,Auto,Black,21000,SUV,8854864
C_CND_000208,1/19/2022,Overhead Camshaft,Manual,Pale White,16000,Sedan,6668924
C_CND_000209,1/19/2022,Double Overhead Camshaft,Auto,Pale White,15000,Hatchback,7296907
C_CND_000210,1/19/2022,Overhead Camshaft,Manual,Pale White,27000,Hatchback,7555872
C_CND_000211,1/19/2022,Double Overhead Camshaft,Auto,Pale White,13500,Hatchback,6327935
C_CND_000212,1/19/2022,Double Overhead Camshaft,Auto,Black,9250,Passenger,6171876
C_CND_000213,1/19/2022,Double Overhead Camshaft,Auto,Pale White,31000,Hatchback,8997806
C_CND_000214,1/19/2022,Double Overhead Camshaft,Auto,Pale White,32000,Hatchback,7104776
C_CND_000215,1/19/2022,Double Overhead Camshaft,Auto,Pale White,29500,Sedan,8210697
C_CND_000216,1/21/2022,Overhead Camshaft,Manual,Pale White,14000,Passenger,8717945
C_CND_000217,1/21/2022,Double Overhead Camshaft,Auto,Pale White,18501,Hatchback,6719698
C_CND_000218,1/21/2022,Overhead Camshaft,Manual,Pale White,17001,SUV,8884589
C_CND_000219,1/21/2022,Overhead Camshaft,Manual,Pale White,12500,SUV,7091817
C_CND_000220,1/21/2022,Overhead Camshaft,Manual,Black,21000,SUV,6053967
C_CND_000221,1/21/2022,Double Overhead Camshaft,Auto,Pale White,62000,SUV,7755205
C_CND_000222,1/21/2022,Double Overhead Camshaft,Auto,Black,11000,Passenger,6075959
C_CND_000223,1/21/2022,Overhead Camshaft,Manual,Pale White,20000,Hatchback,6579013
C_CND_000224,1/21/2022,Double Overhead Camshaft,Auto,Pale White,21200,Sedan,6175694
C_CND_000225,1/21/2022,Overhead Camshaft,Manual,Black,29000,Hatchback,7778542
C_CND_000226,1/21/2022,Double Overhead Camshaft,Auto,Pale White,17000,Passenger,8652954
C_CND_000227,1/21/2022,Double Overhead Camshaft,Auto,Pale White,27000,Hatchback,8165932
C_CND_000228,1/21/2022,Overhead Camshaft,Manual,Black,36000,Sedan,8439749
C_CND_000229,1/21/2022,Double Overhead Camshaft,Auto,Black,19000,Sedan,6548543
C_CND_000230,1/21/2022,Double Overhead Camshaft,Auto,Pale White,18000,Hatchback,7638367
C_CND_000231,1/21/2022,Double Overhead Camshaft,Auto,Pale White,15000,Hardtop,6042502
C_CND_000232,1/21/2022,Overhead Camshaft,Manual,Pale White,24000,Hardtop,7856638
C_CND_000233,1/21/2022,Double Overhead Camshaft,Auto,Black,16000,Passenger,7774440
C_CND_000234,1/21/2022,Double Overhead Camshaft,Auto,Pale White,29000,Passenger,6944597
C_CND_000235,1/21/2022,Double Overhead Camshaft,Auto,Pale White,19000,Hatchback,8669480
C_CND_000236,1/21/2022,Overhead Camshaft,Manual,Black,22000,SUV,6063129
C_CND_000237,1/21/2022,Double Overhead Camshaft,Auto,Pale White,23500,SUV,6972050
C_CND_000238,1/21/2022,Double Overhead Camshaft,Auto,Pale White,36000,Passenger,8725531
C_CND_000239,1/21/2022,Double Overhead Camshaft,Auto,Pale White,19000,Hatchback,7853364
C_CND_000240,1/21/2022,Double Overhead Camshaft,Auto,Pale White,53000,Hardtop,6090926
C_CND_000241,1/23/2022,Double Overhead Camshaft,Auto,Black,28000,Sedan,6059431
C_CND_000242,1/23/2022,Double Overhead Camshaft,Auto,Black,60750,Sedan,7474014
C_CND_000243,1/23/2022,Double Overhead Camshaft,Auto,Pale White,42000,Hardtop,6410028
C_CND_000244,1/23/2022,Overhead Camshaft,Manual,Pale White,31000,Passenger,6249100
C_CND_000245,1/23/2022,Double Overhead Camshaft,Auto,Pale White,62000,Sedan,7798861
C_CND_000246,1/23/2022,Double Overhead Camshaft,Auto,Black,39500,SUV,6712658
C_CND_000247,1/23/2022,Overhead Camshaft,Manual,Pale White,24001,Hardtop,7391292
C_CND_000248,1/23/2022,Double Overhead Camshaft,Auto,Pale White,15000,Hatchback,7186099
C_CND_000249,1/23/2022,Overhead Camshaft,Manual,Black,19000,SUV,7445427
C_CND_000250,1/23/2022,Double Overhead Camshaft,Auto,Pale White,35000,Hardtop,6723919
C_CND_000251,1/24/2022,Overhead Camshaft,Manual,Pale White,21000,SUV,7019166
C_CND_000252,1/24/2022,Double Overhead Camshaft,Auto,Pale White,20000,Hatchback,8939266
C_CND_000253,1/24/2022,Overhead Camshaft,Manual,Black,18500,Hatchback,6711152
C_CND_000254,1/24/2022,Double Overhead Camshaft,Auto,Pale White,45000,SUV,6628315
C_CND_000255,1/24/2022,Double Overhead Camshaft,Auto,Pale White,12000,Sedan,8350736
C_CND_000256,1/26/2022,Overhead Camshaft,Manual,Pale White,21500,SUV,7134389
C_CND_000257,1/26/2022,Overhead Camshaft,Manual,Pale White,17000,Sedan,8387204
C_CND_000258,1/26/2022,Double Overhead Camshaft,Auto,Pale White,46000,SUV,8530223
C_CND_000259,1/26/2022,Double Overhead Camshaft,Auto,Pale White,41100,Passenger,7658291
C_CND_000260,1/26/2022,Overhead Camshaft,Manual,Pale White,22500,Hatchback,7810244
C_CND_000261,1/27/2022,Double Overhead Camshaft,Auto,Black,9000,SUV,8364023
C_CND_000262,1/27/2022,Overhead Camshaft,Manual,Pale White,20200,SUV,7546455
C_CND_000263,1/27/2022,Overhead Camshaft,Manual,Pale White,59000,Sedan,6194175
C_CND_000264,1/27/2022,Overhead Camshaft,Manual,Black,22000,SUV,7025992
C_CND_000265,1/27/2022,Double Overhead Camshaft,Auto,Pale White,57000,SUV,8108037
C_CND_000266,1/27/2022,Double Overhead Camshaft,Auto,Pale White,25500,SUV,8672450
C_CND_000267,1/27/2022,Overhead Camshaft,Manual,Black,18000,SUV,7085492
C_CND_000268,1/27/2022,Overhead Camshaft,Manual,Pale White,27000,Passenger,8594191
C_CND_000269,1/27/2022,Overhead Camshaft,Manual,Pale White,22000,Hatchback,8541398
C_CND_000270,1/27/2022,Overhead Camshaft,Manual,Pale White,82000,Hatchback,7848361
C_CND_000271,1/27/2022,Double Overhead Camshaft,Auto,Pale White,15000,Hatchback,6534513
C_CND_000272,1/27/2022,Double Overhead Camshaft,Auto,Pale White,31000,Hatchback,6484440
C_CND_000273,1/27/2022,Double Overhead Camshaft,Auto,Pale White,13000,Hatchback,6179651
C_CND_000274,1/27/2022,Double Overhead Camshaft,Auto,Pale White,17000,Sedan,7691251
C_CND_000275,1/27/2022,Double Overhead Camshaft,Auto,Pale White,46000,Sedan,6154930
C_CND_000276,1/27/2022,Double Overhead Camshaft,Auto,Pale White,19100,Sedan,8711691
C_CND_000277,1/27/2022,Double Overhead Camshaft,Auto,Pale White,10000,SUV,6575129
C_CND_000278,1/27/2022,Overhead Camshaft,Manual,Black,42000,Passenger,7712199
C_CND_000279,1/27/2022,Double Overhead Camshaft,Auto,Black,18000,Hatchback,8429371
C_CND_000280,1/27/2022,Double Overhead Camshaft,Auto,Pale White,25000,SUV,6632898
C_CND_000281,1/28/2022,Double Overhead Camshaft,Auto,Black,22000,Passenger,8164247
C_CND_000282,1/28/2022,Overhead Camshaft,Manual,Black,25000,SUV,7536144
C_CND_000283,1/28/2022,Overhead Camshaft,Manual,Pale White,23000,Hatchback,6911603
C_CND_000284,1/28/2022,Double Overhead Camshaft,Auto,Pale White,33000,Passenger,6226752
C_CND_000285,1/28/2022,Overhead Camshaft,Manual,Pale White,25000,Sedan,8221235
C_CND_000286,1/30/2022,Overhead Camshaft,Manual,Black,43000,Sedan,6988136
C_CND_000287,1/30/2022,Overhead Camshaft,Manual,Pale White,21001,Sedan,8690744
C_CND_000288,1/30/2022,Overhead Camshaft,Manual,Pale White,11501,Hatchback,8027275
C_CND_000289,1/30/2022,Double Overhead Camshaft,Auto,Pale White,32000,Hatchback,6608005
C_CND_000290,1/30/2022,Overhead Camshaft,Manual,Black,20000,SUV,7465437
C_CND_000291,1/30/2022,Double Overhead Camshaft,Auto,Black,9000,Hatchback,6535530
C_CND_000292,1/30/2022,Double Overhead Camshaft,Auto,Pale White,29000,Passenger,8160891
C_CND_000293,1/30/2022,Overhead Camshaft,Manual,Pale White,17000,Hatchback,6044969
C_CND_000294,1/30/2022,Overhead Camshaft,Manual,Pale White,27000,Hatchback,7272811
C_CND_000295,1/30/2022,Overhead Camshaft,Manual,Pale White,54000,Passenger,6894798
C_CND_000296,1/30/2022,Double Overhead Camshaft,Auto,Black,33000,Hatchback,6730472
C_CND_000297,1/30/2022,Overhead Camshaft,Manual,Pale White,27500,Hardtop,6779688
C_CND_000298,1/30/2022,Overhead Camshaft,Manual,Pale White,14000,SUV,8547639
C_CND_000299,1/30/2022,Double Overhead Camshaft,Auto,Black,41000,Sedan,7348351
